Gene_name,GSM4089641,GSM4089642,GSM4089643,GSM4089647,GSM4089648,GSM4089649
DDR1 /// MIR4640,7.131249924,7.01118252,6.94373383,7.820849085,7.707890553,7.706005539
RFC2,1.628969518,1.408217293,1.886245774,4.720677942,5.96090319,5.949899063
HSPA6,6.295219756,3.712100491,4.890811455,6.352518432,7.27543547,7.334791713
PAX8,7.290654783,7.595854207,8.108555819,7.788261556,6.939955265,6.746823317
GUCA1A,4.904151686,5.569901166,5.271511584,2.724938345,-0.335427961,2.31119792
MIR5193 /// UBA7,6.745412145,6.804053559,7.053991025,5.35812545,5.476893604,5.453122447
THRA,7.286908863,7.763285413,8.233284127,5.030539136,4.622379867,5.439466893
PTPN21,4.564865895,3.727452183,4.882794647,3.390007262,3.010328702,1.402094544
CCL5,-0.701487134,-0.171144233,1.639153427,1.455565266,-0.265162507,3.219890268
CYP2E1,4.545202352,4.243425362,4.264273689,3.266422261,2.374324512,3.261708321
EPHB3,2.157072823,0.977792791,4.334053344,2.738880222,0.754571143,1.074361571
ESRRA,7.185995352,7.016719161,7.855478985,6.996117538,7.065270713,7.149391482
CYP2A6,4.446778947,5.697309561,6.08712971,3.780362598,3.809445315,4.254805655
SCARB1,6.062324663,5.116863758,6.885598767,4.75423547,6.13222106,6.926699241
TTLL12,7.264226766,7.247101524,6.970174931,7.832719159,8.111542594,8.054126732
LINC00152 /// LOC101930489,4.690031506,1.773152397,5.557805236,5.686046637,5.041865002,3.668958712
WFDC2,3.875976602,4.437114524,3.464040872,3.536587593,2.959733067,3.701127609
MAPK1,5.828359934,5.054726945,4.858970643,4.384761306,6.913894682,6.49257907
MAPK1,5.006091525,4.456733881,5.114879207,5.112028665,6.555098309,5.811604607
ADAM32,3.518358883,4.191878443,4.438984753,2.179030072,2.718276131,-2.016617076
SPATA17,0.686540866,2.725324536,1.888717925,3.204081229,2.154667453,3.293635337
PRR22,2.004328798,2.424927461,2.312168508,1.23060883,0.205780349,1.604318079
PRR22,4.477547816,1.950039088,4.446315789,3.686265195,4.453359539,4.664243888
PXK,5.814786239,5.587229957,6.512762582,4.897288837,5.105539802,4.890140221
PXK,4.814950262,1.158996173,4.223105864,1.616310642,2.836524062,3.173669542
VPS18,2.342785126,2.06771787,5.568856006,2.433336062,0.817377671,1.679775083
MSANTD3,7.976890572,7.556184143,7.148730779,9.612652906,9.372976032,9.596767464
SLC46A1,4.964893001,5.635417762,5.076742926,2.342824941,4.459805359,3.160436198
SLC46A1,5.575944582,6.462855592,6.177610888,5.164524838,5.356974811,4.72749575
TIMD4,4.54715983,2.24208722,2.091588137,2.079104993,1.108537838,1.623618746
SLC39A5,5.555150473,5.986329013,6.637169697,4.56238287,4.359717939,4.773574423
ZDHHC11 /// ZDHHC11B,1.77873004,4.448610269,5.019003524,5.25132902,3.910291345,3.789238881
ATP6V1E2,6.384680157,5.427954737,6.557814424,6.461540019,6.314763584,6.493791417
AFG3L1P,5.449501949,5.946174071,5.773985779,6.52053854,5.454498357,4.683584178
CILP2,1.617195026,4.467612071,2.484218064,-0.840487061,-1.784060531,-0.076742788
CILP2,4.86210419,5.576933241,5.805176354,3.869012639,3.301112035,3.914497553
PIGX,6.996320949,7.093370024,6.735806464,6.807998839,6.534880234,6.5312676
TMEM196,3.654573021,1.376707126,2.201652679,0.326387779,2.843109523,1.216076098
SLC39A13,5.899552693,5.406625101,5.484586084,6.358083241,6.742464393,7.36120689
BEST4,1.869054108,2.417517703,4.046316431,1.092214205,0.573859222,0.624063452
AK9,4.018821086,2.002853712,4.926587766,3.85998942,2.530872294,3.011919583
CORO6,5.149584553,5.663028604,5.90167063,4.396001891,3.772086232,3.723176268
TMEM106A,4.560329777,5.399123231,5.370317751,2.90426828,2.88292667,3.363773827
TMEM106A,4.03753158,5.109699043,5.662715367,1.142021259,3.548991401,1.105228842
ALG10,3.787024925,1.417369173,4.855954825,3.039422693,4.018927882,3.579578428
ALG10,4.4264325,4.153083808,4.634326078,4.660797444,5.363497014,5.429666173
TTC39C,5.719980153,5.556227068,5.726790355,6.416834676,5.028074025,4.447023698
NEXN,6.590383449,6.471819883,6.962791919,6.015560012,7.043672591,7.265033632
C15orf40,6.795779933,7.007901872,6.671774568,7.295851569,7.427882685,7.275724118
RAX2,5.662832127,5.639463717,5.911360826,5.152069817,3.556024693,5.499428162
MFAP3,6.899393179,7.13419013,6.643870617,7.590040556,6.882312903,6.806311167
EYA3,3.661133906,4.831517536,3.700295441,5.322573557,4.351176003,4.136142158
GIMAP1,4.742302698,4.107135456,6.344940316,3.570669363,-0.328536323,3.50897368
GIMAP1,7.592367333,7.76805858,7.747165822,2.613564655,1.752029205,2.726454149
GIMAP1,6.216862239,6.524301932,6.114123362,-0.543149703,2.50440429,0.55185558
KLK8,2.773492137,3.42736481,4.350744747,-0.274232672,0.716859236,2.142825111
CCDC65,3.852008828,3.982017002,3.573556306,2.606629364,2.469086283,2.497351776
CCDC65,2.166416593,0.363361741,1.404488996,-0.72373204,-0.467876577,0.103289487
FAM122C,-1.104700481,1.033778896,3.356679086,3.515939479,3.635022993,3.116843801
FAM122C,4.988698318,4.829118896,5.033792989,4.244925104,4.595903425,5.084782881
CCDC11,1.566932026,2.671886635,2.517207652,-1.128115357,2.411860074,2.606120014
CCDC11,1.462827134,2.215644431,1.779150437,3.647936128,3.286042781,1.049247392
ARMCX4,4.315899478,3.97260076,4.142421607,2.22650853,0.079756977,-0.617629339
RBBP6,5.306542963,5.422566047,5.327036999,5.47873565,5.784490896,5.20394894
CENPBD1,5.072727518,4.880631656,5.679111285,4.399266814,6.011781859,5.151148494
TRIOBP,3.366532046,3.545956017,3.981505634,3.052728885,2.95292059,2.928917922
TRIOBP,4.828240596,5.31689876,5.248493091,5.182589017,5.114999939,5.283229142
CATSPER1,5.260195065,5.534323117,6.130568504,5.019990958,5.369176799,5.317788841
HOXD4,3.186912516,3.872287032,1.592631645,2.994349816,3.453873106,3.017574551
