Gene_name,GSM368877,GSM368878,GSM368879,GSM368880,GSM368881,GSM368882,GSM368883,GSM368884,GSM368885,GSM368886,GSM368887,GSM368888,GSM368889,GSM368890
EEF1A1,0.055494453,-0.022081255,0.126613143,-0.118313806,-0.29536331,-0.048110095,0.18279031,-0.091900465,-0.144268649,-0.125124477,-0.118313806,-0.207498154,0.163280892,0.293704407
SLC35E2,-2.765551071,-1.49297279,-2.165916681,-2.765551071,-2.765551071,-1.995292345,-2.765551071,-2.765551071,-2.415947298,-2.765551071,-2.765551071,3.867134295,-2.765551071,-2.765551071
RPS28,0.045531343,0.020940921,0.033019213,0.020940921,-0.056004876,0.598859533,-0.100234133,-0.056004876,-0.11612103,-0.224351833,-0.224351833,-0.294268856,0.045531343,-0.172002661
IPO13,-0.120353071,-0.480862123,-0.542637436,-0.241119766,-6.066964053,0.085486855,1.712089195,-0.670116988,-0.296111722,-0.072546969,-0.423229235,0.819189762,-0.119457438,0.679258005
AFAP,0,0,0,0,0.633888011,0,0,0,0,0,0,0,0,0
GGTLA4,-1.43471162,-0.995857238,-0.909083073,-1.155450578,1.008147467,-1.152718927,-0.912507691,-0.344855891,-1.112735917,-1.43471162,-1.059584587,2.877698979,-1.43471162,-0.252656998
CDT1,0.49075568,0.796613811,0.829543282,1.155991276,-1.952294097,-1.03544257,-7.480709917,0.682049277,0.406718632,0.900984704,0.641715296,-6.811536281,-2.07489663,-4.916266506
TRPV1,0,0,0,0,0.204110191,0,0,0,0,0,0,0.804300391,0,0
LPP,-3.185223059,-2.492853264,-2.566980769,-3.645603319,-7.145330438,0.434412588,0.775755862,-2.325905576,-2.696061263,-3.964389941,-2.129231974,-7.145330438,1.288620325,2.912527634
CCNE2,1.279615038,0,0,0,0,0,0,0.673792708,0,0.473408333,0,0,0,0
HNRPAB,0.701197713,0.708441858,0.455275816,0.507923375,-1.765611508,-1.394308024,-1.838787221,0.022689916,0.810619975,0.942134304,0.824790427,-2.763190227,-0.748169112,-1.52335965
LOH12CR1,0.533899047,0.584379026,0.495381519,1.071515419,-0.790621861,-2.740956471,-0.267012233,0.47980726,0.158265761,0.164867241,0.203351006,-2.788812399,-0.037007272,-0.416281613
SNIP1,0.851015099,0.735825837,0.606097913,0.588507201,-5.097937123,-0.483879952,-1.363783014,0.612375301,0.347337674,0.961676381,0.240744002,-5.097937123,-0.265515745,-1.369643794
COL17A1,-0.494002,-2.559315106,0.257146388,0.421741086,-4.136229911,-1.27724684,-1.241968723,0.880340786,0.636258535,0.884563951,1.124078553,-4.136229911,1.050226572,-1.029974778
