Gene_name,GSM1342279,GSM1342280,GSM1342281,GSM1342282,GSM1342283
EEF1A1,0.17963791,0.20867538,-0.2439413,-0.19813156,-0.003322601
GAPDH,0.48899746,0.4454422,-0.028957367,0.21777725,-0.028957367
LOC643334,-0.0400939,0.33661032,-0.14204073,-0.09434557,0.18045712
SLC35E2,0.2635169,0.21956873,0.019651413,-0.35412216,-0.14665222
DUSP22,0.046610832,-0.016430855,0.018887043,0.22811842,-0.20640182
LOC642820,0.04403162,0.047225475,0.0960083,-0.10006809,-0.002049923
RPS28,-0.8506737,-0.96082115,-1.1125622,-1.2094727,-0.9103451
IPO13,0.18737125,0.031998634,-0.5056186,-0.03407955,-0.28769016
AFAP1,0.042835236,-0.09947777,0.19370365,0.15340757,0.34664726
GGTLC1,-0.023301125,0.03850937,0.02502203,0.16217661,-0.027620792
CDT1,0.12435341,0.10912132,1.2463875,1.1482677,1.4076614
TRPV1,-0.4963832,-0.21300507,-0.4567132,-0.24252987,-0.35852432
LOC652879,-0.26654243,0.32097054,0.10327721,0.12415457,0.091768265
LOC644150,-0.20129728,-0.32195377,-0.25375366,0.07523966,0.10155296
LPP,0.4977913,0.8421984,-0.3865919,-0.6730423,-0.6272402
FLJ36848,-1.3264661,-1.5723033,-0.73558617,-0.78583574,-0.7355232
CCNE2,-0.44080782,0.08827925,-0.0890131,-0.02823925,0.16268635
LOH12CR1,-0.15978146,0.26440048,0.17640638,-0.1557064,0.16918755
SNIP1,-0.638855,-0.687768,-0.060767174,-0.0891037,0.06046486
LOC645349,0.13689137,0.044466496,0.024659157,0.33243704,-0.05378294
LOC389669,-0.10867119,0.102769375,-0.22217226,-0.21904182,-0.013875485
COL17A1,-1.5259571,-1.3286977,-1.7566881,-1.8503809,-1.7006202
BCL6B,-0.024081707,-0.17833471,0.041152954,0.18017101,-0.47050953
GRHL1,-0.8372855,-0.99390364,-0.71490145,-0.9675493,-0.48662996
LOC339760,0.052557945,0.221066,-0.032512188,-0.07330418,0.000476
LOC644613,0.004497528,-0.04539299,0.1581397,0.24218225,0.14289379
ATP13A4,-0.37041855,-0.6510124,-0.68400717,-0.2740507,-0.05089569
DIAPH2,0.20268297,0.19978428,-0.13971567,-0.04569626,-0.02593422
CD69,-0.24008322,-0.38727093,-0.5881591,-0.44653034,-0.3544612
LOC653493,0.049729824,0.08188152,0.140903,-0.013075352,0.18175268
LAT1-3TM,0.6361437,0.56484413,0.033240795,0.09176254,-0.10005474
LOC646360,1.8018513,1.8461332,-2.0843287,-2.1273456,-2.111217
KCNG4,-0.015411854,-0.10629606,-0.21623039,-0.049622536,-0.2276864
MLYCD,-0.05352688,-0.16587257,-0.14274359,-0.10110712,-0.015899658
UHRF1BP1L,-0.60254,-0.77514887,-0.1745553,-0.17420387,-0.17721558
LOC401010,-0.19542646,-0.28255844,0.37943363,0.4940896,0.53348255
ITGA11,0.90949154,0.83576393,0.6402073,0.5653324,0.40010452
TICAM2,0.08267975,0.24123096,0.8970165,1.0511284,0.9200363
SERTAD2,0.4951973,0.44372272,0.73357487,0.9454355,0.79922867
SPP1,4.17175,4.176629,-2.1383924,-1.9985485,-2.330141
HBE1,-0.19643307,0.058787346,0.044274807,0.11716938,0.12894154
